TIME,depth,lat,long,psal,temp
22:28:10,10.62581031,-17.7298727,146.4457971,34.95184413,29.11547008
22:28:12,10.3077398,-17.72987708,146.4457931,34.95209324,29.11474614
22:28:14,9.95984962,-17.72988143,146.4457891,34.95139823,29.11485499
22:28:16,9.611958847,-17.7298858,146.4457851,34.95115342,29.11768493
22:28:18,9.264067482,-17.7298902,146.4457811,34.95233899,29.11923
22:28:20,8.916175527,-17.72989457,146.4457771,34.95188305,29.12008284
22:28:22,8.58816257,-17.72989893,146.4457731,34.95272176,29.11841633
22:28:24,8.240269466,-17.7299033,146.4457691,34.95145506,29.11969561
22:28:26,7.892375772,-17.72990769,146.4457651,34.95243288,29.12080484
22:28:28,7.544481486,-17.72991206,146.4457611,34.95250773,29.1208296
22:28:30,7.20652647,-17.72991645,146.445757,34.95245267,29.12096497
22:28:32,6.858631019,-17.72992082,146.445753,34.95254285,29.12054222
22:28:34,6.520674872,-17.72992517,146.445749,34.95227972,29.1197813
22:28:36,6.192658078,-17.72992955,146.445745,34.95221762,29.12014754
22:28:38,5.844760904,-17.72993395,146.445741,34.9521293,29.12062986
22:28:40,5.49686314,-17.72993832,146.445737,34.95201771,29.11794914
22:28:42,5.139024822,-17.72994266,146.445733,34.9513364,29.11281626
22:28:44,4.781185879,-17.72994706,146.445729,34.95023821,29.11393624
22:28:46,4.443226303,-17.72995141,146.445725,34.95044261,29.12063988
22:28:48,4.095326157,-17.72995581,146.445721,34.95265368,29.12379248
22:28:50,3.74742542,-17.72996016,146.445717,34.95288622,29.12289952
22:28:52,3.429344228,-17.72996455,146.445713,34.95160222,29.12099347
22:28:54,3.19078301,-17.7299689,146.445709,34.95175703,29.11712613
22:28:56,3.121202602,-17.72997329,146.445705,34.95119834,29.11664013
